p10_annual_orec_exceedance,fixed_rec_price,bid_quantity_mwh,eligibility,renewable_technology,project_name,solicitation_name,generation_type,counterparty,developer_name,article_10_94c_case_number,county_province,project_status,contract_duration,zip_code,state_province,max_annual_contract_quantity,new_renewable_capacity_mw,data_through_date,bid_capacity_mw,georeference,permit_process,installed_energy_storage_energy_capacity_mwhac,energy_storage_power_capacity_mwac,second_article_10_or_94c_case_number,year_of_delivery_start_date,redc,nyiso_zone,index_rec_strike_price,interconnection_queue_number,type_of_existing,transmission_capacity_hvdc_,ptid,federal_permitting_mechanism,article_7
,13.99,19292,Non-Tier 1,Hydroelectric,Sherman Island,1168,,,,,Warren,Completed,10,12804,NY,19292,4.7,2023-01-20T00:00:00.000,4.5,POINT (-73.67843 43.33318),,,,,2009,Capital Region,Capital,,,,,,,
,26,46664,Non-Tier 1,Biogas - LFG,Seneca,2226,,,,,Seneca,Completed,10,13165,NY,46664,12.8,2023-01-20T00:00:00.000,5.85,POINT (-76.8627 42.89895),,,,,2011,Finger Lakes,Central,,,,,,,
,9.49,21885,Non-Tier 1,Hydroelectric,School Street,1681,,,,,Albany,Completed,10,12047,NY,21885,5.2,2023-01-20T00:00:00.000,4.9,POINT (-73.70009 42.77465),,,,,2011,Capital Region,Capital,,,,,24059,,
,25,4199,Non-Tier 1,Hydroelectric,Rio,2554,,,,,Sullivan,Completed,10,12737,NY,4199,0.8,2023-01-20T00:00:00.000,0.76,POINT (-74.80665 41.49108),,,,,2014,Mid-Hudson,Hudson Valley,,,,,,,
,9.98,3291,Non-Tier 1,Hydroelectric,Raymondville,1037,,,,,St Lawrence,Completed,10,13667,NY,3620,0.7,2023-01-20T00:00:00.000,0.7,POINT (-74.98356 44.80086),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,16.5,40500,Non-Tier 1,Land Based Wind,Prattsburgh,1168,,,,,Steuben,Cancelled,10,14873,NY,40500,54,2023-01-20T00:00:00.000,16.2,POINT (-77.28905 42.52343),,,,,,Southern Tier,Central,,,,,,,
,9.98,385,Non-Tier 1,Hydroelectric,Piercefield,1168,,,,,St Lawrence,Completed,10,12922,NY,385,0.1,2023-01-20T00:00:00.000,0.1,POINT (-74.66915 44.28576),,,,,2009,North Country,North,,,,,24042,,
,8.75,2688,Non-Tier 1,Hydroelectric,Oswego Falls,1037,,,,,Oswego,Completed,10,13069,NY,2957,0.6,2023-01-20T00:00:00.000,0.6,POINT (-76.41527 43.32201),,,,,2008,Central New York,Central,,,,,24041,,
,20.89,279103,Non-Tier 1,Land Based Wind,Orangeville,2226,,,,,Wyoming,Operational,10,14569,NY,279103,92.8,2023-01-20T00:00:00.000,88.16,POINT (-78.1332 42.74022),,,,,2014,Finger Lakes,Central,,,,,323706,,
,26,17232,Non-Tier 1,Biogas - LFG,Ontario,2226,,,,,Ontario,Completed,10,14561,NY,17232,6.4,2023-01-20T00:00:00.000,3,POINT (-77.09743 42.82485),,,,,2011,Finger Lakes,Central,,,,,,,
,9.99,4207,Non-Tier 1,Hydroelectric,Norwood,1037,,,,,St Lawrence,Completed,10,13668,NY,4628,0.5,2023-01-20T00:00:00.000,0.5,POINT (-74.99419 44.75155),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,9.96,6822,Non-Tier 1,Hydroelectric,Norfolk,1037,,,,,St Lawrence,Completed,10,13667,NY,7504,1.5,2023-01-20T00:00:00.000,1.5,POINT (-74.98356 44.80086),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,20.25,986,Non-Tier 1,Hydroelectric,Mill Street Dam,2389,,,,,Cayuga,Operational,10,13021,NY,986,0.22,2023-01-20T00:00:00.000,0.23,POINT (-76.56591 42.92936),,,,,2014,Central New York,Central,,,,,,,
,17.5,19000,Non-Tier 1,Hydroelectric,Mechanicville,1851,,,,,Saratoga,Completed,10,12118,NY,19000,4.5,2023-01-20T00:00:00.000,4.28,POINT (-73.68506 42.90448),,,,,2011,Capital Region,Capital,,,,,,,
,36.95,52526,Non-Tier 1,Land Based Wind,Marsh Hill,2554,,,,,Steuben,Operational,10,14855,NY,52526,16.2,2023-01-20T00:00:00.000,15.39,POINT (-77.50328 42.12147),,,,,2014,Southern Tier,Central,,,,,323713,,
